Year,Events
1960,1
1961,0
1962,4
1963,3
1964,0
1965,1
1966,4
1967,2
1968,2
1969,3
1970,4
1971,3
1972,11
1973,7
1974,4
1975,4
1976,4
1977,3
1978,4
1979,4
1980,4
1981,2
1982,4
1983,5
1984,2
1985,6
1986,2
1987,4
1988,5
1989,7
1990,1
1991,3
1992,6
1993,4
1994,4
1995,2
1996,9
1997,3
1998,4
1999,1
2000,4
2001,6
2002,6
2003,5
2004,1
2005,7
2006,4
2007,3
2008,1
2009,4
2010,3
2011,0
2012,2
